ticker,ccp,tag
abeo,CY2021,"15                               InterestIncomeOperating
294    RevenueFromContractWithCustomerExcludingAssess...
Name: (abeo, CY2021), dtype: object"
abeo,CY2022,"10                               InterestIncomeOperating
287    RevenueFromContractWithCustomerExcludingAssess...
Name: (abeo, CY2022), dtype: object"
abg,CY2009,"1802                   Revenues
511     SalesRevenueServicesNet
Name: (abg, CY2009), dtype: object"
abg,CY2010,"3088                   Revenues
733     SalesRevenueServicesNet
Name: (abg, CY2010), dtype: object"
abg,CY2011,"2043                   Revenues
833     SalesRevenueServicesNet
Name: (abg, CY2011), dtype: object"
abg,CY2012,"3866                   Revenues
832     SalesRevenueServicesNet
Name: (abg, CY2012), dtype: object"
abg,CY2013,"3738                   Revenues
832     SalesRevenueServicesNet
Name: (abg, CY2013), dtype: object"
abg,CY2014,"1665                   Revenues
801     SalesRevenueServicesNet
Name: (abg, CY2014), dtype: object"
abg,CY2015,"1510                   Revenues
759     SalesRevenueServicesNet
Name: (abg, CY2015), dtype: object"
abg,CY2016,"1643                   Revenues
704     SalesRevenueServicesNet
Name: (abg, CY2016), dtype: object"
abg,CY2017,"847     RevenueFromContractWithCustomerIncludingAssess...
1729                                             Revenues
Name: (abg, CY2017), dtype: object"
abg,CY2018,"1289    RevenueFromContractWithCustomerExcludingAssess...
505     RevenueFromContractWithCustomerIncludingAssess...
Name: (abg, CY2018), dtype: object"
abg,CY2019,"1267    RevenueFromContractWithCustomerExcludingAssess...
416     RevenueFromContractWithCustomerIncludingAssess...
Name: (abg, CY2019), dtype: object"
abg,CY2020,"1234    RevenueFromContractWithCustomerExcludingAssess...
369     RevenueFromContractWithCustomerIncludingAssess...
Name: (abg, CY2020), dtype: object"
abilf,CY2014,"1448    ProfessionalFees
3571            Revenues
2189     SalesRevenueNet
Name: (abilf, CY2014), dtype: object"
abilf,CY2015,"1273    ProfessionalFees
3277            Revenues
Name: (abilf, CY2015), dtype: object"
abilf,CY2016,"1116    ProfessionalFees
3407            Revenues
Name: (abilf, CY2016), dtype: object"
abilf,CY2017,"989     ProfessionalFees
3523            Revenues
Name: (abilf, CY2017), dtype: object"
abilf,CY2018,"944     ProfessionalFees
2845            Revenues
Name: (abilf, CY2018), dtype: object"
abilf,CY2019,"853     ProfessionalFees
2352            Revenues
Name: (abilf, CY2019), dtype: object"
ablzf,CY2007,"200                   Revenues
17     SalesRevenueServicesNet
Name: (ablzf, CY2007), dtype: object"
ablzf,CY2008,"222                   Revenues
57     SalesRevenueServicesNet
Name: (ablzf, CY2008), dtype: object"
ablzf,CY2009,"836                   Revenues
222    SalesRevenueServicesNet
Name: (ablzf, CY2009), dtype: object"
ablzf,CY2010,"1661                   Revenues
345     SalesRevenueServicesNet
Name: (ablzf, CY2010), dtype: object"
ablzf,CY2011,"1756                   Revenues
410     SalesRevenueServicesNet
Name: (ablzf, CY2011), dtype: object"
ablzf,CY2012,"1969                   Revenues
365     SalesRevenueServicesNet
Name: (ablzf, CY2012), dtype: object"
ablzf,CY2013,"1764                   Revenues
328     SalesRevenueServicesNet
Name: (ablzf, CY2013), dtype: object"
ablzf,CY2014,"1460                   Revenues
281     SalesRevenueServicesNet
Name: (ablzf, CY2014), dtype: object"
ablzf,CY2015,"1331                   Revenues
220     SalesRevenueServicesNet
Name: (ablzf, CY2015), dtype: object"
ablzf,CY2016,"665    RevenueFromContractWithCustomerExcludingAssess...
160                              SalesRevenueServicesNet
Name: (ablzf, CY2016), dtype: object"
ablzf,CY2017,"964    RevenueFromContractWithCustomerExcludingAssess...
105                              SalesRevenueServicesNet
Name: (ablzf, CY2017), dtype: object"
abmd,CY2009,"119    InvestmentIncomeNet
986               Revenues
Name: (abmd, CY2009), dtype: object"
abmd,CY2010,"178     InvestmentIncomeNet
1867               Revenues
Name: (abmd, CY2010), dtype: object"
abmd,CY2011,"215    InvestmentIncomeNet
737               Revenues
Name: (abmd, CY2011), dtype: object"
abmd,CY2012,"202     InvestmentIncomeNet
2229               Revenues
Name: (abmd, CY2012), dtype: object"
abmd,CY2013,"175     InvestmentIncomeNet
2029               Revenues
Name: (abmd, CY2013), dtype: object"
abmd,CY2014,"152    InvestmentIncomeNet
631               Revenues
Name: (abmd, CY2014), dtype: object"
abmd,CY2015,"136    InvestmentIncomeNet
583               Revenues
Name: (abmd, CY2015), dtype: object"
abmd,CY2016,"113                                  InvestmentIncomeNet
295    RevenueFromContractWithCustomerExcludingAssess...
Name: (abmd, CY2016), dtype: object"
abmd,CY2017,"95                                   InvestmentIncomeNet
444    RevenueFromContractWithCustomerExcludingAssess...
Name: (abmd, CY2017), dtype: object"
abmd,CY2018,"64                                   InvestmentIncomeNet
534    RevenueFromContractWithCustomerExcludingAssess...
Name: (abmd, CY2018), dtype: object"
abmd,CY2019,"60                                   InvestmentIncomeNet
519    RevenueFromContractWithCustomerExcludingAssess...
Name: (abmd, CY2019), dtype: object"
abmd,CY2020,"60                                   InvestmentIncomeNet
500    RevenueFromContractWithCustomerExcludingAssess...
Name: (abmd, CY2020), dtype: object"
abmt,CY2020,"1597    RevenueFromContractWithCustomerExcludingAssess...
139                             RevenueFromRelatedParties
Name: (abmt, CY2020), dtype: object"
abqq,CY2017,"885     ProfessionalFees
3289            Revenues
Name: (abqq, CY2017), dtype: object"
abqq,CY2018,"850                                     ProfessionalFees
875    RevenueFromContractWithCustomerIncludingAssess...
Name: (abqq, CY2018), dtype: object"
abqq,CY2019,"182                              InterestIncomeOperating
714    RevenueFromContractWithCustomerIncludingAssess...
Name: (abqq, CY2019), dtype: object"
abqq,CY2020,"177                              InterestIncomeOperating
645    RevenueFromContractWithCustomerIncludingAssess...
Name: (abqq, CY2020), dtype: object"
abqq,CY2021,"168                              InterestIncomeOperating
578    RevenueFromContractWithCustomerIncludingAssess...
Name: (abqq, CY2021), dtype: object"
abqq,CY2023,"98     RevenueFromContractWithCustomerIncludingAssess...
371                                             Revenues
Name: (abqq, CY2023), dtype: object"
abr-pf,CY2013,"278    InterestIncomeOperating
592           ProfessionalFees
Name: (abr-pf, CY2013), dtype: object"
abr-pf,CY2014,"266    InterestIncomeOperating
545           ProfessionalFees
Name: (abr-pf, CY2014), dtype: object"
abr-pf,CY2015,"254    InterestIncomeOperating
483           ProfessionalFees
Name: (abr-pf, CY2015), dtype: object"
absi,CY2020,"696     RevenueFromContractWithCustomerIncludingAssess...
2192                                             Revenues
Name: (absi, CY2020), dtype: object"
absi,CY2021,"630     RevenueFromContractWithCustomerIncludingAssess...
2060                                             Revenues
Name: (absi, CY2021), dtype: object"
absi,CY2022,"543     RevenueFromContractWithCustomerIncludingAssess...
1832                                             Revenues
Name: (absi, CY2022), dtype: object"
abti,CY2019,"564     ProfessionalFees
1711            Revenues
Name: (abti, CY2019), dtype: object"
